id,neighbourhood_cleansed,price,property_type,room_type,availability_365,calculated_host_listings_count,host_response_time,host_response_rate,picture_url,Standardization_Score,Neighborhood_Impact
2871271,Élysée,,Entire rental unit,Entire home/apt,96,1,within an hour,100.0,https://a0.muscache.com/pictures/38198560/46a7a1f9_original.jpg,-1,-1
2785692,Élysée,,Private room in tiny home,Private room,176,1,,,https://a0.muscache.com/pictures/miso/Hosting-2785692/original/8f5e0f36-a35a-4f0f-95d9-148a29bb9045.jpeg,-1,-1
2892435,Élysée,,Entire rental unit,Entire home/apt,299,2,within an hour,100.0,https://a0.muscache.com/pictures/7604870d-c7b7-4bc1-a7d1-129c2dfb2408.jpg,-1,-1
3015969,Élysée,,Private room in rental unit,Private room,0,1,,,https://a0.muscache.com/pictures/38682585/852a0c61_original.jpg,-1,-1
3126320,Élysée,,Entire rental unit,Entire home/apt,53,1,,,https://a0.muscache.com/pictures/39880741/1b08a548_original.jpg,-1,-1
3199889,Élysée,,Entire rental unit,Entire home/apt,0,2,,,https://a0.muscache.com/pictures/40726174/62086b79_original.jpg,-1,-1
3139351,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/40033322/5331d749_original.jpg,-1,-1
22158,Élysée,,Private room in rental unit,Private room,76,1,within a few hours,100.0,https://a0.muscache.com/pictures/d4ec75eb-90d2-4c2c-adfb-b2910adf801a.jpg,-1,-1
48592,Élysée,,Entire rental unit,Entire home/apt,300,102,within a day,53.0,https://a0.muscache.com/pictures/miso/Hosting-48592/original/e9b90bd4-4851-4cdb-8e73-52a5b36ec951.jpeg,-1,-1
55239,Élysée,,Entire rental unit,Entire home/apt,336,2,within a few hours,100.0,https://a0.muscache.com/pictures/325656/1dd3aa03_original.jpg,-1,-1
171159,Élysée,,Entire rental unit,Entire home/apt,325,1,within an hour,100.0,https://a0.muscache.com/pictures/airflow/Hosting-171159/original/f6945cb0-e7f6-4141-b5c8-9ec9b2abfcb1.jpg,-1,-1
348747,Élysée,,Entire rental unit,Entire home/apt,120,1,within an hour,100.0,https://a0.muscache.com/pictures/111055338/28d79762_original.jpg,-1,-1
243040,Élysée,,Entire rental unit,Entire home/apt,0,2,,,https://a0.muscache.com/pictures/2306504/b7a67144_original.jpg,-1,-1
108591,Élysée,,Entire rental unit,Entire home/apt,286,2,within an hour,100.0,https://a0.muscache.com/pictures/25811da6-475d-4ef9-bdfa-3be104a7aae2.jpg,-1,-1
270067,Élysée,,Entire rental unit,Entire home/apt,192,1,within an hour,100.0,https://a0.muscache.com/pictures/29f3ec93-e0e1-403b-8da5-5dcb4ff73f17.jpg,-1,-1
536347,Élysée,,Entire condo,Entire home/apt,331,1,within a few hours,100.0,https://a0.muscache.com/pictures/19595456/1ec27657_original.jpg,-1,-1
763958,Élysée,,Private room in rental unit,Private room,204,1,within an hour,100.0,https://a0.muscache.com/pictures/miso/Hosting-763958/original/41daba73-b668-4292-adf0-deec219fcbc7.jpeg,-1,-1
893684,Élysée,,Entire rental unit,Entire home/apt,11,1,within a day,100.0,https://a0.muscache.com/pictures/miso/Hosting-893684/original/68d02ad1-fef0-4b45-a53d-5ae3d3a8a002.jpeg,-1,-1
845652,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/12594506/e20f1dd3_original.jpg,-1,-1
782257,Élysée,,Entire rental unit,Entire home/apt,0,2,,,https://a0.muscache.com/pictures/f7c9d158-1ab6-45ff-880b-8a5b492af13b.jpg,-1,-1
1005600,Élysée,,Entire rental unit,Entire home/apt,127,1,a few days or more,0.0,https://a0.muscache.com/pictures/ab051d87-b5bb-4d5c-8ac6-720245bd801f.jpg,-1,-1
886735,Élysée,,Entire rental unit,Entire home/apt,88,1,,,https://a0.muscache.com/pictures/12854582/c17b89d9_original.jpg,-1,-1
1036684,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAzNjY4NA%3D%3D/original/92066ca1-ac0e-4119-a8fb-e88e21ea1b0b.jpeg,-1,-1
1057854,Élysée,,Entire rental unit,Entire home/apt,55,1,a few days or more,0.0,https://a0.muscache.com/pictures/0e93f5e1-a8da-4ab3-85ad-53c99bb8a6f0.jpg,-1,-1
1218817,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/18338736/f7c23722_original.jpg,-1,-1
1137844,Élysée,,Entire rental unit,Entire home/apt,362,1,,,https://a0.muscache.com/pictures/44719633/669b7eeb_original.jpg,-1,-1
1301263,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/19792930/25fba007_original.jpg,-1,-1
1192253,Élysée,,Entire rental unit,Entire home/apt,285,1,,,https://a0.muscache.com/pictures/17926196/85d34c6c_original.jpg,-1,-1
1329018,Élysée,,Private room in rental unit,Private room,199,3,within an hour,100.0,https://a0.muscache.com/pictures/miso/Hosting-1329018/original/c9dd78a2-d7df-4d0d-b659-e5b80502ba4b.png,-1,-1
1336131,Élysée,,Entire townhouse,Entire home/apt,76,1,,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMzNjEzMQ%3D%3D/original/83ea4b41-c56f-4433-9b7d-a0778292381d.jpeg,-1,-1
1353338,Élysée,,Entire rental unit,Entire home/apt,358,1,,,https://a0.muscache.com/pictures/22547441/7d9c5553_original.jpg,-1,-1
1359986,Élysée,,Entire rental unit,Entire home/apt,345,2,within an hour,100.0,https://a0.muscache.com/pictures/hosting/Hosting-1359986/original/2e91eb37-0672-430a-9982-5be333a0856b.jpeg,-1,-1
1363359,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/106664117/d3d785ff_original.jpg,-1,-1
1550642,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/2fa31f65-9c46-4691-bad9-a11e1ce91980.jpg,-1,-1
1670507,Élysée,,Castle,Entire home/apt,325,1,within a few hours,100.0,https://a0.muscache.com/pictures/miso/Hosting-1670507/original/a80b0229-57bc-4b7b-b1b5-8db428ef76b7.jpeg,-1,-1
1448260,Élysée,,Entire rental unit,Entire home/apt,315,1,within a day,100.0,https://a0.muscache.com/pictures/miso/Hosting-1448260/original/1b1a3041-9972-47fa-b178-b06423db6736.jpeg,-1,-1
1785028,Élysée,,Entire rental unit,Entire home/apt,334,1,within a few hours,100.0,https://a0.muscache.com/pictures/25161454/13b0b7c1_original.jpg,-1,-1
1983291,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/c4919be5-1d9e-482f-83df-d3273b0e08a8.jpg,-1,-1
2050473,Élysée,,Entire rental unit,Entire home/apt,365,1,within a day,50.0,https://a0.muscache.com/pictures/28217063/2c647863_original.jpg,-1,-1
1892591,Élysée,,Entire rental unit,Entire home/apt,239,1,within an hour,100.0,https://a0.muscache.com/pictures/26979905/f7faf94c_original.jpg,-1,-1
2162251,Élysée,,Entire rental unit,Entire home/apt,340,5,within an hour,100.0,https://a0.muscache.com/pictures/69411927/ec99d2ea_original.jpg,-1,-1
2488505,Élysée,,Private room in rental unit,Private room,344,8,within an hour,99.0,https://a0.muscache.com/pictures/34566859/f2f84821_original.jpg,-1,-1
2384250,Élysée,,Entire rental unit,Entire home/apt,364,2,within a few hours,80.0,https://a0.muscache.com/pictures/airflow/Hosting-2384250/original/1ce36ad9-e3c3-40e8-a7bb-7476e808624c.jpg,-1,-1
2527936,Élysée,,Entire rental unit,Entire home/apt,241,1,within a few hours,67.0,https://a0.muscache.com/pictures/33397254/8074e3bc_original.jpg,-1,-1
2615923,Élysée,,Entire rental unit,Entire home/apt,360,1,within an hour,100.0,https://a0.muscache.com/pictures/34776090/8bf5dbb5_original.jpg,-1,-1
2415284,Élysée,,Entire rental unit,Entire home/apt,351,1,within a few hours,67.0,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjQxNTI4NA==/original/c46d1018-117d-491c-a658-f8c08a901ed5.jpeg,-1,-1
2579897,Élysée,,Entire rental unit,Entire home/apt,365,2,a few days or more,0.0,https://a0.muscache.com/pictures/34814252/efb14d17_original.jpg,-1,-1
2678065,Élysée,,Entire rental unit,Entire home/apt,80,1,within an hour,100.0,https://a0.muscache.com/pictures/miso/Hosting-2678065/original/04b3daea-e40d-49f8-bb6c-8370fefd5c03.jpeg,-1,-1
3269034,Élysée,,Entire loft,Entire home/apt,37,1,a few days or more,0.0,https://a0.muscache.com/pictures/38c7b352-3889-4e3a-a2d4-143d12aa727a.jpg,-1,-1
3292824,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/b4175d59-1cb3-47bc-b143-7c6e7ba172ab.jpg,-1,-1
3369673,Élysée,,Entire rental unit,Entire home/apt,160,1,,,https://a0.muscache.com/pictures/44599515/3c77deee_original.jpg,-1,-1
3385662,Élysée,,Private room in rental unit,Private room,339,2,within an hour,100.0,https://a0.muscache.com/pictures/3f5ec514-2a6f-4816-abfd-fa9887a6cfbf.jpg,-1,-1
3467111,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/3be8637c-4126-452b-ba3a-f7ef2d586acd.jpg,-1,-1
3483434,Élysée,,Private room in rental unit,Private room,0,1,,,https://a0.muscache.com/pictures/44003234/24d84595_original.jpg,-1,-1
3421149,Élysée,,Entire rental unit,Entire home/apt,21,1,within an hour,100.0,https://a0.muscache.com/pictures/13c41932-1c7d-408d-9509-ac8d4705ca35.jpg,-1,-1
3492606,Élysée,,Entire rental unit,Entire home/apt,23,1,within a day,100.0,https://a0.muscache.com/pictures/miso/Hosting-3492606/original/e82bd9cb-7a7d-4945-abe7-5d033b4949e5.jpeg,-1,-1
3493067,Élysée,,Private room in rental unit,Private room,0,1,,,https://a0.muscache.com/pictures/44111139/2715d66e_original.jpg,-1,-1
3597324,Élysée,,Private room in rental unit,Private room,166,1,within an hour,100.0,https://a0.muscache.com/pictures/0400877a-3d4e-4f93-912c-a86fc26c1943.jpg,-1,-1
3626136,Élysée,,Entire rental unit,Entire home/apt,177,1,within an hour,100.0,https://a0.muscache.com/pictures/hosting/Hosting-3626136/original/c300462c-74eb-4bae-8e0d-dac18cf506bf.jpeg,-1,-1
3661319,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/66001362/348ddcc4_original.jpg,-1,-1
3838884,Élysée,,Entire rental unit,Entire home/apt,280,2,within a few hours,100.0,https://a0.muscache.com/pictures/48298259/d88dd431_original.jpg,-1,-1
3891859,Élysée,,Private room in rental unit,Private room,361,1,within an hour,100.0,https://a0.muscache.com/pictures/467b81ec-58e0-4810-9aac-2b12c2eee6b9.jpg,-1,-1
4008153,Élysée,,Entire rental unit,Entire home/apt,5,1,,,https://a0.muscache.com/pictures/54724509/8f27ddd4_original.jpg,-1,-1
4028720,Élysée,,Entire rental unit,Entire home/apt,270,1,within a few hours,100.0,https://a0.muscache.com/pictures/50683238/76eaf11a_original.jpg,-1,-1
4195472,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/88911013/76b8c845_original.jpg,-1,-1
4327237,Élysée,,Entire rental unit,Entire home/apt,207,1,within an hour,100.0,https://a0.muscache.com/pictures/57784046/039492c7_original.jpg,-1,-1
4073301,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/51315991/9667ce03_original.jpg,-1,-1
4421966,Élysée,,Boat,Entire home/apt,216,1,within a few hours,100.0,https://a0.muscache.com/pictures/690f8759-21a4-403b-beaf-7320675358e8.jpg,-1,-1
4155299,Élysée,,Entire rental unit,Entire home/apt,226,1,,,https://a0.muscache.com/pictures/a4d6a42a-2080-4fd5-99e7-a4ce11b1f4f5.jpg,-1,-1
4555353,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/58625869/261bee58_original.jpg,-1,-1
4674903,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/59113002/85a0751e_original.jpg,-1,-1
4574708,Élysée,,Private room in bed and breakfast,Private room,133,1,within an hour,100.0,https://a0.muscache.com/pictures/57525251/ccdf66bb_original.jpg,-1,-1
4696099,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/58970769/6664b554_original.jpg,-1,-1
4697300,Élysée,,Entire rental unit,Entire home/apt,364,1,a few days or more,0.0,https://a0.muscache.com/pictures/59630730/2bc695a8_original.jpg,-1,-1
4602936,Élysée,,Entire rental unit,Entire home/apt,99,1,,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDYwMjkzNg%3D%3D/original/44c1ebc6-0ced-44fa-815f-542d1332219e.jpeg,-1,-1
4770319,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/59863252/55085748_original.jpg,-1,-1
4656901,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/58480267/5501429f_original.jpg,-1,-1
4806693,Élysée,,Entire rental unit,Entire home/apt,0,2,,,https://a0.muscache.com/pictures/60289227/ea778f24_original.jpg,-1,-1
4947623,Élysée,,Entire rental unit,Entire home/apt,16,1,within an hour,100.0,https://a0.muscache.com/pictures/miso/Hosting-4947623/original/66760c71-e26f-4ecf-ba5b-3071a4b1d114.jpeg,-1,-1
5266569,Élysée,,Entire rental unit,Entire home/apt,362,1,within a few hours,80.0,https://a0.muscache.com/pictures/70293586/bb2de7f8_original.jpg,-1,-1
5416267,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/81595987/e62757f2_original.jpg,-1,-1
5506550,Élysée,,Entire rental unit,Entire home/apt,199,1,within a few hours,90.0,https://a0.muscache.com/pictures/69245413/4c537fcd_original.jpg,-1,-1
5743007,Élysée,,Entire rental unit,Entire home/apt,196,1,within a day,60.0,https://a0.muscache.com/pictures/8803a145-06f3-464a-8d25-3a3c9fa405bc.jpg,-1,-1
5745576,Élysée,,Entire rental unit,Entire home/apt,10,1,,,https://a0.muscache.com/pictures/84925124/d0d5181b_original.jpg,-1,-1
5853836,Élysée,,Entire rental unit,Entire home/apt,0,68,within an hour,99.0,https://a0.muscache.com/pictures/72916861/2ab64658_original.jpg,-1,-1
6136342,Élysée,,Entire rental unit,Entire home/apt,358,1,,,https://a0.muscache.com/pictures/76478806/c644c212_original.jpg,-1,-1
5987705,Élysée,,Entire rental unit,Entire home/apt,346,5,within an hour,100.0,https://a0.muscache.com/pictures/miso/Hosting-5987705/original/1c288258-d069-4d7e-b537-85c04703553f.png,-1,-1
6197994,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/78705680/99b9c79e_original.jpg,-1,-1
6211581,Élysée,,Entire rental unit,Entire home/apt,247,1,within an hour,100.0,https://a0.muscache.com/pictures/hosting/Hosting-6211581/original/a1cfdbbd-46df-4cb0-b06a-7d32f16f8bd0.jpeg,-1,-1
6260716,Élysée,,Private room in rental unit,Private room,0,1,,,https://a0.muscache.com/pictures/78130688/98f17593_original.jpg,-1,-1
6307603,Élysée,,Entire rental unit,Entire home/apt,227,1,within a day,90.0,https://a0.muscache.com/pictures/miso/Hosting-6307603/original/4c95caf4-3dda-4eab-9138-d5ff74a9c35c.jpeg,-1,-1
6454645,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/82387195/9018e669_original.jpg,-1,-1
6608686,Élysée,,Entire rental unit,Entire home/apt,2,3,within a few hours,100.0,https://a0.muscache.com/pictures/83258959/a3532f2d_original.jpg,-1,-1
6631831,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjYzMTgzMQ%3D%3D/original/4f014e7c-ca28-488e-99fd-043558ff1bde.jpeg,-1,-1
6725364,Élysée,,Entire rental unit,Entire home/apt,2,1,within an hour,100.0,https://a0.muscache.com/pictures/85926351/6591a500_original.jpg,-1,-1
6736599,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/85921492/ebcdd677_original.jpg,-1,-1
6764772,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/miso/Hosting-6764772/original/e8303d3d-d852-4923-b3c3-edfc96a70e06.jpeg,-1,-1
6746746,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/97221908/199a8e1f_original.jpg,-1,-1
6668409,Élysée,,Entire rental unit,Entire home/apt,0,12,,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjY2ODQwOQ%3D%3D/original/5a9f57d4-59fc-4b41-a87f-d739bca14cca.png,-1,-1
6675025,Élysée,,Entire rental unit,Entire home/apt,0,12,,,https://a0.muscache.com/pictures/miso/Hosting-6675025/original/85593c57-cdb2-4a46-8559-3af25d321096.jpeg,-1,-1
6919917,Élysée,,Entire rental unit,Entire home/apt,0,1,,,https://a0.muscache.com/pictures/89634417/8cdbd537_original.jpg,-1,-1
6921651,Élysée,,Entire rental unit,Entire home/apt,214,5,within an hour,100.0,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjkyMTY1MQ==/original/69e9f195-603d-409a-889b-bd41ec3d2e8a.jpeg,-1,-1
